"図鑑番号","ポケモン名","HP","A","B","C","D","S","タイプ１","タイプ２","通常特性１","通常特性２","夢特性","合計","重さ(kg)","体重技威力"
"1","フシギダネ","45","49","49","65","65","45","草","毒","しんりょく","-","ようりょくそ","318","6.9","20"
"2","フシギソウ","60","62","63","80","80","60","草","毒","しんりょく","-","ようりょくそ","405","13","40"
"3","フシギバナ","80","82","83","100","100","80","草","毒","しんりょく","-","ようりょくそ","525","100","100"
"003-1","メガフシギバナ","80","100","123","122","120","80","草","毒","あついしぼう","-","-","625","155.5","100"
"4","ヒトカゲ","39","52","43","60","50","65","炎","-","もうか","-","サンパワー","309","8.5","20"
"5","リザード","58","64","58","80","65","80","炎","-","もうか","-","サンパワー","405","19","40"
"6","リザードン","78","84","78","109","85","100","炎","飛","もうか","-","サンパワー","534","90.5","80"
"006-1","メガリザードンX","78","130","111","130","85","100","炎","竜","かたいツメ","-","-","634","110.5","100"
"006-2","メガリザードンY","78","104","78","159","115","100","炎","飛","ひでり","-","-","634","100.5","100"
"7","ゼニガメ","44","48","65","50","64","43","水","-","げきりゅう","-","あめうけざら","314","9","20"
"8","カメール","59","63","80","65","80","58","水","-","げきりゅう","-","あめうけざら","405","22.5","40"
"9","カメックス","79","83","100","85","105","78","水","-","げきりゅう","-","あめうけざら","530","85.5","80"
"009-1","メガカメックス","79","103","120","135","115","78","水","-","メガランチャー","-","-","630","101.1","100"
"10","キャタピー","45","30","35","20","20","45","虫","-","りんぷん","-","にげあし","195","2.9","20"
"11","トランセル","50","20","55","25","25","30","虫","-","だっぴ","-","-","205","9.9","20"
"12","バタフリー","60","45","50","90","80","70","虫","飛","ふくがん","-","いろめがね","395","32","60"
"13","ビードル","40","35","30","20","20","50","虫","毒","りんぷん","-","にげあし","195","3.2","20"
"14","コクーン","45","25","50","25","25","35","虫","毒","だっぴ","-","-","205","10","40"
"15","スピアー","65","90","40","45","80","75","虫","毒","むしのしらせ","-","スナイパー","395","29.5","60"
"015-1","メガスピアー","65","150","40","15","80","145","虫","毒","てきおうりょく","-","-","495","40.5","80"
"16","ポッポ","40","45","40","35","35","56","ノ","飛","するどいめ"," ちどりあし","はとむね","251","1.8","20"
"17","ピジョン","63","60","55","50","50","71","ノ","飛","するどいめ"," ちどりあし","はとむね","349","30","60"
"18","ピジョット","83","80","75","70","70","101","ノ","飛","するどいめ"," ちどりあし","はとむね","479","39.5","60"
"018-1","メガピジョット","83","80","80","135","80","121","ノ","飛","ノーガード","-","-","579","50.5","80"
"19","コラッタ","30","56","35","25","35","72","ノ","-","にげあし"," こんじょう","はりきり","253","3.5","20"
"019-1","コラッタ_A","30","56","35","25","35","72","悪","ノ","くいしんぼう"," はりきり","あついしぼう","253","3.8","20"
"20","ラッタ","55","81","60","50","70","97","ノ","-","にげあし"," こんじょう","はりきり","413","18.5","40"
"020-1","ラッタ_A","75","71","70","40","80","77","悪","ノ","くいしんぼう"," はりきり","あついしぼう","413","25.5","60"
"21","オニスズメ","40","60","30","31","31","70","ノ","飛","するどいめ","-","スナイパー","262","2","20"
"22","オニドリル","65","90","65","61","61","100","ノ","飛","するどいめ","-","スナイパー","442","38","60"
"23","アーボ","35","60","44","40","54","55","毒","-","いかく"," だっぴ","きんちょうかん","288","6.9","20"
"24","アーボック","60","95","69","65","79","80","毒","-","いかく"," だっぴ","きんちょうかん","448","65","80"
"25","ピカチュウ","35","55","40","50","50","90","電","-","せいでんき","-","ひらいしん","320","6","20"
"26","ライチュウ","60","90","55","90","80","110","電","-","せいでんき","-","ひらいしん","485","30","60"
"026-1","ライチュウ_A","60","85","50","95","85","110","電","超","サーフテール","-","-","485","21","40"
"27","サンド","50","75","85","20","30","40","地","-","すながくれ","-","すなかき","300","12","40"
"027-1","サンド_A","50","75","90","10","35","40","氷","鋼","ゆきがくれ","-","ゆきかき","300","40","80"
"28","サンドパン","75","100","110","45","55","65","地","-","すながくれ","-","すなかき","450","29.5","60"
"028-1","サンドパン_A","75","100","120","25","65","65","氷","鋼","ゆきがくれ","-","ゆきかき","450","55","80"
"29","ニドラン♀","55","47","52","40","40","41","毒","-","どくのトゲ"," とうそうしん","はりきり","275","7","20"
"30","ニドリーナ","70","62","67","55","55","56","毒","-","どくのトゲ"," とうそうしん","はりきり","365","20","40"
"31","ニドクイン","90","92","87","75","85","76","毒","地","どくのトゲ"," とうそうしん","ちからずく","505","60","80"
"32","ニドラン♂","46","57","40","40","40","50","毒","-","どくのトゲ"," とうそうしん","はりきり","273","9","20"
"33","ニドリーノ","61","72","57","55","55","65","毒","-","どくのトゲ"," とうそうしん","はりきり","365","19.5","40"
"34","ニドキング","81","102","77","85","75","85","毒","地","どくのトゲ"," とうそうしん","ちからずく","505","62","80"
"35","ピッピ","70","45","48","60","65","35","妖","-","メロメロボディ"," マジックガード","フレンドガード","323","7.5","20"
"36","ピクシー","95","70","73","95","90","60","妖","-","メロメロボディ"," マジックガード","てんねん","483","40","80"
"37","ロコン","38","41","40","50","65","65","炎","-","もらいび","-","ひでり","299","9.9","20"
"037-1","ロコン_A","38","41","40","50","65","65","氷","-","ゆきがくれ","-","ゆきふらし","299","9.9","20"
"38","キュウコン","73","76","75","81","100","100","炎","-","もらいび","-","ひでり","505","19.9","40"
"038-1","キュウコン_A","73","67","75","81","100","109","氷","妖","ゆきがくれ","-","ゆきふらし","505","19.9","40"
"39","プリン","115","45","20","45","25","20","ノ","妖","メロメロボディ"," かちき","フレンドガード","270","5.5","20"
"40","プクリン","140","70","45","85","50","45","ノ","妖","メロメロボディ"," かちき","おみとおし","435","12","40"
"41","ズバット","40","45","35","30","40","55","毒","飛","せいしんりょく","-","すりぬけ","245","7.5","20"
"42","ゴルバット","75","80","70","65","75","90","毒","飛","せいしんりょく","-","すりぬけ","455","55","80"
"43","ナゾノクサ","45","50","55","75","65","30","草","毒","ようりょくそ","-","にげあし","320","5.4","20"
"44","クサイハナ","60","65","70","85","75","40","草","毒","ようりょくそ","-","あくしゅう","395","8.6","20"
"45","ラフレシア","75","80","85","110","90","50","草","毒","ようりょくそ","-","ほうし","490","18.6","40"
"46","パラス","35","70","55","45","55","25","虫","草","ほうし"," かんそうはだ","しめりけ","285","5.4","20"
"47","パラセクト","60","95","80","60","80","30","虫","草","ほうし"," かんそうはだ","しめりけ","405","29.5","60"
"48","コンパン","60","55","50","40","55","45","虫","毒","ふくがん"," いろめがね","にげあし","305","30","60"
"49","モルフォン","70","65","60","90","75","90","虫","毒","りんぷん"," いろめがね","ミラクルスキン","450","12.5","40"
"50","ディグダ","10","55","25","35","45","95","地","-","すながくれ"," ありじごく","すなのちから","265","0.8","20"
"050-1","ディグダ_A","10","55","30","35","45","90","地","鋼","すながくれ"," カーリーヘアー","すなのちから","265","1","20"
"51","ダグトリオ","35","100","50","50","70","120","地","-","すながくれ"," ありじごく","すなのちから","425","33.3","60"
"051-1","ダグトリオ_A","35","100","60","50","70","110","地","鋼","すながくれ"," カーリーヘアー","すなのちから","425","66.6","80"
"52","ニャース","40","45","35","40","40","90","ノ","-","ものひろい"," テクニシャン","きんちょうかん","290","4.2","20"
"052-1","ニャース_A","40","35","35","50","40","90","悪","-","ものひろい"," テクニシャン","びびり","290","4.2","20"
"052-2","ニャース_G","50","65","55","40","40","40","鋼","-","ものひろい","かたいツメ","きんちょうかん","290","7.5","20"
"53","ペルシアン","65","70","60","65","65","115","ノ","-","じゅうなん"," テクニシャン","きんちょうかん","440","32","60"
"053-1","ペルシアン_A","65","60","60","75","65","115","悪","-","ファーコート"," テクニシャン","びびり","440","33","60"
"54","コダック","50","52","48","65","50","55","水","-","しめりけ"," ノーてんき","すいすい","320","19.6","40"
"55","ゴルダック","80","82","78","95","80","85","水","-","しめりけ"," ノーてんき","すいすい","500","76.6","80"
"56","マンキー","40","80","35","35","45","70","格","-","やるき"," いかりのつぼ","まけんき","305","28","60"
"57","オコリザル","65","105","60","60","70","95","格","-","やるき"," いかりのつぼ","まけんき","455","32","60"
"58","ガーディ","55","70","45","70","50","60","炎","-","いかく"," もらいび","せいぎのこころ","350","19","40"
"59","ウインディ","90","110","80","100","80","95","炎","-","いかく"," もらいび","せいぎのこころ","555","155","100"
"60","ニョロモ","40","50","40","40","40","90","水","-","ちょすい"," しめりけ","すいすい","300","12.4","40"
"61","ニョロゾ","65","65","65","50","50","90","水","-","ちょすい"," しめりけ","すいすい","385","20","40"
"62","ニョロボン","90","95","95","70","90","70","水","格","ちょすい"," しめりけ","すいすい","510","54","80"
"63","ケーシィ","25","20","15","105","55","90","超","-","シンクロ"," せいしんりょく","マジックガード","310","19.5","40"
"64","ユンゲラー","40","35","30","120","70","105","超","-","シンクロ"," せいしんりょく","マジックガード","400","56.5","80"
"65","フーディン","55","50","45","135","95","120","超","-","シンクロ"," せいしんりょく","マジックガード","500","48","80"
